event,author,title,type,repository,organization,state,number,created,closed,url,api_url
pycascades-24,ptressel,"Update publish-pypi.md with consistent usage for ""test PyPI"".",PullRequest,python-package-guide,pyOpenSci,closed,224,2024-04-08T19:54:23Z,2024-04-15T18:38:20Z,https://github.com/pyOpenSci/python-package-guide/pull/224,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/224
pycascades-24,ptressel,Update publish-conda-forge.md to fix tiny typo,PullRequest,python-package-guide,pyOpenSci,closed,225,2024-04-08T20:07:18Z,2024-04-09T18:14:38Z,https://github.com/pyOpenSci/python-package-guide/pull/225,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/225
pycascades-24,Tyler-Bonnell,Update get-to-know-hatch.md - Rewording Get to Know Hatch Documentation,PullRequest,python-package-guide,pyOpenSci,closed,226,2024-04-08T20:41:04Z,2024-04-15T18:04:05Z,https://github.com/pyOpenSci/python-package-guide/pull/226,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/226
pycascades-24,ptressel,"Update get-to-know-hatch.md for consistent style of ""Hatch"" etc.",PullRequest,python-package-guide,pyOpenSci,closed,227,2024-04-08T21:00:08Z,2024-05-06T20:30:21Z,https://github.com/pyOpenSci/python-package-guide/pull/227,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/227
pycascades-24,ucodery,Add: text on Hatch backend compatibility,PullRequest,python-package-guide,pyOpenSci,closed,228,2024-04-08T21:01:18Z,2024-04-15T16:47:53Z,https://github.com/pyOpenSci/python-package-guide/pull/228,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/228
pycascades-24,miguelalizo,Add: Tutorial for migrating from setup.py to pyproject.toml using Hatch,PullRequest,python-package-guide,pyOpenSci,closed,229,2024-04-08T21:24:42Z,2024-04-15T18:46:50Z,https://github.com/pyOpenSci/python-package-guide/pull/229,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/229
pycascades-24,nyeshlur,Update installable-code.md,PullRequest,python-package-guide,pyOpenSci,closed,230,2024-04-08T21:25:42Z,2024-04-09T18:13:43Z,https://github.com/pyOpenSci/python-package-guide/pull/230,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/230
pycascades-24,ptressel,More consistent LICENSE and CODE_OF_CONDUCT usage,PullRequest,python-package-guide,pyOpenSci,closed,234,2024-04-08T21:46:08Z,2024-04-15T18:23:26Z,https://github.com/pyOpenSci/python-package-guide/pull/234,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/234
pycascades-24,ucodery,literalinclude directives,PullRequest,python-package-guide,pyOpenSci,closed,239,2024-04-10T18:54:06Z,2024-05-20T15:48:26Z,https://github.com/pyOpenSci/python-package-guide/pull/239,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/239
pycascades-24,Tyler-Bonnell,API Documentation Tutorial: Fix a few typos and clean up punctuation,PullRequest,python-package-guide,pyOpenSci,closed,242,2024-04-15T18:20:32Z,2024-05-06T20:31:38Z,https://github.com/pyOpenSci/python-package-guide/pull/242,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/242
pycascades-24,Tyler-Bonnell,Include missed update step pyproject.toml,PullRequest,python-package-guide,pyOpenSci,closed,243,2024-04-15T18:26:53Z,2024-05-06T20:33:17Z,https://github.com/pyOpenSci/python-package-guide/pull/243,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/243
pycascades-24,pb-413,Update version references in tutorial: 0.1.0 -> 0.1,PullRequest,python-package-guide,pyOpenSci,closed,279,2024-05-21T17:48:35Z,2024-05-23T22:09:26Z,https://github.com/pyOpenSci/python-package-guide/pull/279,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/279
pyconus-24,flpm,Translating the package guide to spanish 🚀 ,Issue,python-package-guide,pyOpenSci,closed,287,2024-05-30T20:17:48Z,2024-07-11T17:17:40Z,https://github.com/pyOpenSci/python-package-guide/issues/287,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/287
pycascades-24,Tyler-Bonnell,Python Package Guide: Fix breakout box / admonition that shows a user how to rename their package if the name is taken on pypi,Issue,python-package-guide,pyOpenSci,open,244,2024-04-15T22:31:00Z,,https://github.com/pyOpenSci/python-package-guide/issues/244,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/244
scipy-24,kaiyamag,Fix: nodejs and requirements.txt installation instructions,PullRequest,metrics,pyOpenSci,closed,8,2024-07-13T18:41:36Z,2024-07-14T00:58:40Z,https://github.com/pyOpenSci/metrics/pull/8,https://api.github.com/repos/pyOpenSci/metrics/pulls/8
scipy-24,ehinman,Update README.md to include instructions for getting GitHub access token,PullRequest,metrics,pyOpenSci,closed,11,2024-07-13T22:26:22Z,2024-07-14T01:04:24Z,https://github.com/pyOpenSci/metrics/pull/11,https://api.github.com/repos/pyOpenSci/metrics/pulls/11
scipy-24,kaiyamag,Nodejs install documentation is not compatible with Windows,Issue,metrics,pyOpenSci,closed,7,2024-07-13T18:14:50Z,2024-07-14T16:02:28Z,https://github.com/pyOpenSci/metrics/issues/7,https://api.github.com/repos/pyOpenSci/metrics/issues/7
scipy-24,kaiyamag,Update README with pip install requirements.txt,Issue,metrics,pyOpenSci,closed,10,2024-07-13T19:18:10Z,2024-07-13T23:47:59Z,https://github.com/pyOpenSci/metrics/issues/10,https://api.github.com/repos/pyOpenSci/metrics/issues/10
scipy-24,ehinman,Add more information in the README.md about configuring GitHub token for using pyosMeta.,Issue,metrics,pyOpenSci,closed,9,2024-07-13T18:56:02Z,2024-07-14T16:11:56Z,https://github.com/pyOpenSci/metrics/issues/9,https://api.github.com/repos/pyOpenSci/metrics/issues/9
scipy-24,kaiyamag,Create: script to fetch a list of all current editors,Issue,metrics,pyOpenSci,open,14,2024-07-13T23:43:45Z,,https://github.com/pyOpenSci/metrics/issues/14,https://api.github.com/repos/pyOpenSci/metrics/issues/14
